"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"addA","","helicase-exonuclease AddAB subunit AddA","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"rexB","","ATP-dependent nuclease subunit B","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226524.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"alr","","alanine racemase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947699.1","","3-deoxy-7-phosphoheptulonate synthase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681613.1","","3-deoxy-7-phosphoheptulonate synthase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"manA","","mannose-6-phosphate isomerase, class I","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002951888.1","","sucrose-6-phosphate hydrolase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002951891.1","","Asp23/Gls24 family envelope stress response protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002951896.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002946571.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002946573.1","","DUF3923 family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681622.1","","DUF1129 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681623.1","","DUF4300 family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"mutY","","A/G-specific adenine glycosylase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947866.1","","CvpA family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"lepB","","signal peptidase I","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681636.1","","AzlD domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"rimI","","ribosomal protein S18-alanine N-acetyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608708.1","","DNA recombination protein RmuC","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608709.1","","thiamine diphosphokinase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681661.1","","protein jag","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002953525.1","","membrane protein insertase YidC","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681667.1","","MptD family putative ECF transporter S component","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681669.1","","rhomboid family intramembrane serine protease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681670.1","","5-formyltetrahydrofolate cyclo-ligase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608733.1","","methyltransferase domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226611.1","","sulfurtransferase TusA family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226613.1","","thioredoxin family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681679.1","","CPBP family intramembrane metalloprotease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608742.1","","prepilin-type N-terminal cleavage/methylation domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226625.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681687.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_120764773.1","","type II secretion system F family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681699.1","","MATE family efflux transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608759.1","","endopeptidase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608782.1","","fructose-bisphosphate aldolase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948620.1","","membrane protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681719.1","","low molecular weight phosphotyrosine protein phosphatase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948651.1","","ABC transporter ATP-binding protein/permease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"ruvX","","Holliday junction resolvase RuvX","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681734.1","","membrane protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681736.1","","GNAT family N-acetyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"amaP","","alkaline shock response membrane anchor protein AmaP","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681750.1","","YhgE/Pip domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002952253.1","","TetR/AcrR family transcriptional regulator C-terminal domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681751.1","","DUF1304 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681752.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226701.1","","LysM peptidoglycan-binding domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947774.1","","energy-coupling factor transporter ATPase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947776.1","","energy-coupling factor transporter ATPase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681760.1","","helix-turn-helix domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681762.1","","insulinase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"recF","","DNA replication/repair protein RecF","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681764.1","","YitT family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704279.1","","YfhO family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"dnaJ","","molecular chaperone DnaJ","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002947702.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"rpoE","","DNA-directed RNA polymerase subunit delta","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680946.1","","L-lactate dehydrogenase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"grpE","","nucleotide exchange factor GrpE","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727297.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225462.1","","NUDIX domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621171.1","","cation-translocating P-type ATPase C-terminal domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"argB","","acetylglutamate kinase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608065.1","","Na/Pi cotransporter family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224103211.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680850.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680853.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224102938.1","","MmcQ/YjbR family DNA-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727401.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608236.1","","glycoside hydrolase family 73 protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608264.1","","ABC transporter permease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681097.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224103237.1","","conjugal transfer protein TraX","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024009891.1","","5'-nucleotidase C-terminal domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608315.1","","dihydrolipoamide acetyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681233.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_022096745.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704252.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_228874296.1","","transposase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608530.1","","potassium channel family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608587.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608625.1","","phosphoribosylanthranilate isomerase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608635.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608656.1","","restriction endonuclease subunit S","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226551.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681629.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224103315.1","","class IIb bacteriocin, lactobin A/cerein 7B family","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681680.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_080998442.1","","radical SAM protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704046.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225515.1","","YigZ family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680849.1","","peptidylprolyl isomerase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002950066.1","","ABC transporter ATP-binding protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608375.1","","amino acid ABC transporter permease","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681209.1","","amino acid ABC transporter permease","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_024704109.1","","FTR1 family iron permease","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608496.1","","alpha/beta hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681374.1","","glycosyltransferase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011226404.1","","GIY-YIG nuclease family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002952136.1","","adenylate kinase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002949008.1","","phosphopantetheine-binding protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680605.1","","competence/damage-inducible protein A","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014607853.1","","NYN domain-containing protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_024704159.1","","mechanosensitive ion channel family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680662.1","","MFS transporter","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011225359.1","","VanZ family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_003098119.1","","ABC transporter permease subunit","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011225384.1","","peptidase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002949411.1","","DUF1273 domain-containing protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"tkt","","transketolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680739.1","","DnaD domain protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002949736.1","","YlbG family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014607993.1","","DEAD/DEAH box helicase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680771.1","","ComF family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680778.1","","HAD family hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002945408.1","","MarR family transcriptional regulator","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680841.1","","glycoside hydrolase family 73 protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002950068.1","","ABC transporter permease","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011225654.1","","nucleotidyltransferase family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002947978.1","","NUDIX hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"macP","","cell wall synthase accessory phosphoprotein MacP","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011225677.1","","DUF2969 domain-containing protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011680924.1","","lysophospholipase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608125.1","","hypothetical protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"lgt","","prolipoprotein diacylglyceryl transferase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_024704063.1","","membrane protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002950368.1","","DUF4430 domain-containing protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"holA","","DNA polymerase III subunit delta","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"murD","","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681002.1","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"dltD","","D-alanyl-lipoteichoic acid biosynthesis protein DltD","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002948206.1","","phosphopantothenate--cysteine ligase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"coaA","","type I pantothenate kinase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681057.1","","MBL fold metallo-hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011225860.1","","hypothetical protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"lpdA","","dihydrolipoyl dehydrogenase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608320.1","","uracil-DNA glycosylase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681160.1","","AI-2E family transporter","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014727445.1","","phosphopentomutase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"pepV","","dipeptidase PepV","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"pepT","","peptidase T","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608400.1","","matrixin family metalloprotease","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"leuD","","3-isopropylmalate dehydratase small subunit","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"leuC","","3-isopropylmalate dehydratase large subunit","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681246.1","","DUF1294 domain-containing protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014621702.1","","ArgR family transcriptional regulator","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011226161.1","","alpha/beta hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681366.1","","hypothetical protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_014608518.1","","exonuclease SbcCD subunit D","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011226273.1","","LacI family DNA-binding transcriptional regulator","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"pknB","","Stk1 family PASTA domain-containing Ser/Thr kinase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_024703939.1","","primosomal protein N'","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002951502.1","","PaaI family thioesterase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_024703964.1","","HAD-IA family hydrolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"folB","","dihydroneopterin aldolase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_011681482.1","","alpha-amylase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"folP","","dihydropteroate synthase","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"WP_002944734.1","","QueT transporter family protein","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
"spxR","","CBS-HotDog domain-containing transcription factor SpxR","6","1","0","19","100.0","95.0","inf","3.0404378230465217e-05","1.0","0.0017609658540420673","1","1","0","1.0","1.0"
