neptune seq length/score graph by kmer
k = 10
,length,score
5.1431,0.6417,222
2.1333,0.6400,559
5.668,0.6354,640
5.869,0.6287,610
1.520,0.6281,411
4.531,0.6273,177
1.919,0.6267,898
5.1068,0.6237,1227
1.1024,0.6215,287
5.1285,0.6132,575
0.1031,0.6126,240
5.667,0.6075,1070
2.640,0.6058,260
4.70,0.5980,114
0.533,0.5963,1230
1.1025,0.5960,1177
5.1611,0.5879,150
4.821,0.5874,613
0.1503,0.5852,171
1.1178,0.5850,169
3.1253,0.5796,268
0.22,0.5692,300
1.1,0.5658,131
3.1616,0.5292,420
3.289,0.5291,465
5.1045,0.4960,2286
5.884,0.4931,688
0.949,0.4913,858
0.1065,0.4912,1182
1.1157,0.4868,170
0.741,0.4860,909
4.565,0.4860,903
5.0,0.4858,2838
3.812,0.4843,1449
4.842,0.4826,691
0.583,0.4825,288
0.1059,0.4812,167
4.747,0.4798,1345
3.1137,0.4784,556
1.183,0.4772,377
4.1426,0.4755,828
4.951,0.4724,342
5.1160,0.4722,237
2.426,0.4718,597
1.31,0.4706,835
4.950,0.4694,210
4.993,0.4684,345
5.217,0.4656,358
3.1318,0.4651,708
2.191,0.4649,225
0.985,0.4611,429
4.1087,0.4557,474
3.880,0.4507,151
5.1545,0.4434,963
1.1260,0.4405,117
1.1482,0.4364,963
0.300,0.4343,194
5.129,0.4339,254
4.843,0.4338,114
3.832,0.4318,246
5.216,0.4243,1161
3.231,0.4210,513
5.1449,0.4186,123
4.176,0.4090,390
1.553,0.4075,630
0.101,0.4067,269
4.994,0.3865,2361
0.1063,0.3813,260
1.265,0.3777,139
5.1384,0.3636,184
0.611,0.3494,150
0.360,0.3423,402
0.184,0.3411,561
1.646,0.3378,1167
5.1178,0.3370,678
4.1540,0.3337,546
5.1576,0.3326,1080
5.128,0.3315,464
4.1375,0.3303,1206
0.212,0.3300,459
3.18,0.3300,324
5.1343,0.3299,1494
3.1218,0.3294,936
1.1551,0.3291,153
5.972,0.3290,921
4.1295,0.3285,500
1.412,0.3277,1368
0.183,0.3270,302
1.563,0.3266,1164
3.1073,0.3265,1137
4.431,0.3256,132
0.1010,0.3256,1025
5.127,0.3255,495
5.1641,0.3255,2070
2.304,0.3247,1280
0.245,0.3242,801
4.1527,0.3226,120
3.15,0.3220,156
5.529,0.3217,732
5.1427,0.3216,858
0.1380,0.3204,926
3.1347,0.3195,417
4.134,0.3187,1620
3.483,0.3158,161
1.1672,0.3157,1500
1.1490,0.3156,288
4.1228,0.3152,312
1.665,0.3146,252
1.469,0.3144,294
1.262,0.3141,358
5.788,0.3129,204
0.224,0.3099,323
5.749,0.3082,678
1.1159,0.3080,1443
0.225,0.3041,606
4.1594,0.3001,249
1.869,0.2971,180
3.1346,0.2952,342
1.1434,0.2857,105
3.123,0.2598,117

k = 28
,length,score
5.349,0.9875,2223
3.647,0.9853,1119
4.826,0.9853,858
2.16,0.9848,127
1.393,0.9843,1020
3.1452,0.9835,702
2.658,0.9828,903
3.649,0.9818,1044
0.1610,0.9814,1137
4.1443,0.9812,1131
1.166,0.9800,678
1.1381,0.9799,909
0.632,0.9797,957
1.882,0.9796,945
1.1332,0.9778,1114
5.945,0.9765,1314
0.119,0.9757,846
5.646,0.9754,705
0.177,0.9739,564
1.742,0.9731,624
0.1502,0.9729,690
4.41,0.9707,1110
3.239,0.9704,609
1.420,0.9695,597
1.424,0.9688,504
1.1288,0.9686,516
3.255,0.9683,744
3.1190,0.9668,1155
0.1192,0.9632,726
4.863,0.9599,327
5.14,0.9589,447
1.1102,0.9568,1398
3.1206,0.9560,522
1.525,0.9510,210
4.641,0.9507,276
3.161,0.9504,318
4.409,0.9498,219
0.285,0.9449,300
3.918,0.9441,327
4.1349,0.9414,183
3.464,0.9400,678
0.1453,0.9381,333
5.19,0.9365,311
4.1484,0.9355,840
3.363,0.9344,222
1.1518,0.9336,273
3.1659,0.9310,306
5.794,0.9304,198
1.1020,0.9271,717
1.195,0.9261,246
5.582,0.9245,807
0.135,0.9230,228
2.359,0.9215,176
2.283,0.9214,345
2.1164,0.9205,268
0.1546,0.9188,303
4.567,0.9162,488
3.1169,0.9127,250
3.889,0.9112,165
2.758,0.9064,195
4.1001,0.9047,156
4.700,0.9046,216
2.528,0.9042,183
4.1495,0.9034,234
4.1151,0.8989,135
2.859,0.8970,1080
3.183,0.8936,2838
2.278,0.8909,774
5.872,0.8823,240
5.991,0.8767,144
1.228,0.8746,141
5.1253,0.8701,141
3.931,0.8662,615
3.844,0.8649,112
5.1309,0.8618,795
4.1346,0.8607,1152
1.205,0.8593,147
4.1005,0.8572,145
4.130,0.8540,312
0.627,0.8507,624
0.856,0.8499,132
2.1538,0.8456,114
3.677,0.8299,115
5.797,0.8190,678
5.1172,0.8189,1170
1.1363,0.8189,521
4.816,0.8177,181
4.902,0.8171,1722
1.1313,0.8166,1038
5.733,0.8166,891
5.900,0.8139,855
4.335,0.8138,637
4.1152,0.8117,1362
2.284,0.8075,987
4.368,0.8057,516
3.1198,0.8047,789
4.1490,0.8023,306
1.915,0.8005,819
3.238,0.7931,1137
3.1679,0.7868,834
1.269,0.7849,390
2.885,0.7831,364
5.1481,0.7827,606
5.1311,0.7697,132
3.236,0.7686,147
5.1589,0.7646,721
5.1096,0.7615,201
5.170,0.7575,621
2.1239,0.7367,975
4.1547,0.7303,2106
0.736,0.7283,254
2.1159,0.7252,984
1.1351,0.7188,141
0.659,0.7103,501
2.1280,0.6941,272
2.1048,0.6868,217
3.1551,0.6778,415
3.1214,0.6757,145
0.1097,0.6612,168
2.416,0.6606,288
5.586,0.6557,915
4.1129,0.6537,1002
2.141,0.6520,1281
1.1017,0.6520,1116
5.1250,0.6518,993
0.911,0.6512,2873
4.160,0.6498,900
0.554,0.6489,423
0.1211,0.6483,402
1.798,0.6457,216
2.1411,0.6398,553
0.1537,0.6288,405
4.1617,0.6285,607
5.964,0.6239,171
5.1095,0.6233,1221
1.937,0.6205,1002
2.88,0.6145,1731
3.636,0.6133,234
1.442,0.6114,386
2.668,0.6095,254
0.542,0.5966,1224
1.1700,0.5883,165
3.341,0.5846,144
1.1214,0.5826,163
3.1311,0.5756,290
5.488,0.5748,1485
2.1321,0.5614,733
0.20,0.5383,399
3.1697,0.5304,414
3.304,0.5283,459
5.1070,0.4960,2280
0.1085,0.4911,1176
5.1728,0.4865,897
1.1191,0.4863,164
0.747,0.4859,903
5.0,0.4858,2832
3.850,0.4842,1443
1.196,0.4840,346
4.881,0.4825,688
4.1269,0.4821,282
5.904,0.4817,847
3.1184,0.4798,550
0.974,0.4794,1224
4.213,0.4778,352
5.424,0.4755,822
2.1272,0.4745,310
4.779,0.4735,1621
5.1256,0.4717,204
2.454,0.4715,591
5.1191,0.4714,231
1.29,0.4704,829
3.1383,0.4648,702
5.453,0.4639,219
0.1008,0.4609,426
4.1139,0.4562,468
3.921,0.4497,148
3.1602,0.4459,114
5.1594,0.4443,957
1.1534,0.4404,957
5.1267,0.4332,191
4.1292,0.4248,1155
1.1159,0.4220,507
1.1512,0.4199,240
5.1498,0.4144,117
5.585,0.4083,387
0.98,0.4082,263
1.565,0.4055,624
4.1043,0.4019,2727
1.275,0.3890,136
5.137,0.3872,260
5.1430,0.3657,178
0.612,0.3501,144
0.373,0.3424,396
1.659,0.3383,1161
5.1573,0.3380,126
4.1518,0.3371,672
3.1456,0.3344,147
4.1583,0.3337,540
4.644,0.3333,1074
0.188,0.3332,978
5.135,0.3315,464
5.998,0.3304,915
4.1423,0.3303,1200
1.1256,0.3300,318
0.217,0.3299,453
4.1675,0.3299,1488
5.1465,0.3285,494
2.7,0.3277,1362
3.1278,0.3276,930
1.574,0.3266,1158
3.1117,0.3265,1131
0.1034,0.3256,1019
5.1690,0.3255,2064
5.134,0.3255,495
2.320,0.3247,1277
0.248,0.3241,795
5.478,0.3218,585
5.1473,0.3217,852
4.374,0.3216,726
3.1230,0.3213,246
0.1442,0.3204,920
1.94,0.3193,411
5.1704,0.3187,1614
3.163,0.3163,282
3.1461,0.3157,1494
5.1715,0.3149,306
3.261,0.3140,288
3.223,0.3139,355
5.807,0.3130,198
0.229,0.3128,1053
3.500,0.3097,155
3.11,0.3089,150
4.574,0.3081,672
3.596,0.3079,1437
4.1645,0.2992,243
1.888,0.2946,177
0.252,0.2945,336

